,nwork_1970s_2021,nwork_2022,medium_1,medium_2,medium_3,medium_4,medium_5,name_raw
180,296,9,0,0,0,0,0,"McKenzie, Queenie"
181,12,1,0,0,0,0,0,"McMahon, Marie"
182,,,0,0,0,0,0,"Mesiti, Angelica"
183,,,0,0,0,0,0,"Messager, Annette"
184,,,0,0,0,0,0,"Mestrom, Sanné"
185,277,2,0,0,0,0,0,"Moffatt, Tracey"
186,,,0,0,0,0,0,"Moje, Mascha"
187,408,7,0,0,0,0,0,"Mora, Mirka"
188,22,1,0,0,0,0,0,"Nakamarra, Doreen Reid"
189,278,9,0,0,0,0,0,"Napangardi, Dorothy"
190,2,0,0,0,0,0,0,Nell
191,16,2,0,0,0,0,0,"Nelson, Jan"
192,11,0,0,0,0,0,0,"Newmarch, Ann"
193,12,0,0,0,0,0,0,"Nolan, Rose"
194,230,9,0,0,0,0,0,"Norrie, Susan"
195,32,2,0,0,0,0,0,"Nyadbi, Lena"
196,0,1,0,0,0,0,0,"O'Callaghan, Mel"
197,129,0,0,0,0,0,0,"O'Connor, Kathleen"
198,,,0,0,0,0,0,"Okabe, Momo"
199,62,1,0,0,0,0,0,"Oliver, Bronwyn"
200,49,0,0,0,0,0,0,"Olley, Margaret"
201,,,0,0,0,0,0,"O’Neil, Lillian"
202,,,0,0,0,0,0,"Ormella, Raquel"
203,3,1,0,0,0,0,0,"Orr, Jill"
204,,,0,0,0,0,0,"O'Sullivan, Kate"
205,4,0,0,0,0,0,0,"Pachucka, Ewa"
206,369,26,0,0,0,0,0,"Pardington, Fiona"
207,82,0,0,0,0,0,0,"Pate, Klytie"
208,214,3,0,0,0,0,0,"Perry, Adelaide"
209,15,1,0,0,0,0,0,"Petyarre, Myrtle"
210,1,0,0,0,0,0,0,"Phillips, Debra"
211,217,2,0,0,0,0,0,"Piccinini, Patricia"
212,18,1,0,0,0,0,0,"Piggott, Rosslynd"
213,2,0,0,0,0,0,0,"Poliness, Kerrie"
214,780,8,0,0,0,0,0,"Preston, Margaret"
215,683,5,0,0,0,0,0,"Proctor, Thea"
216,,,0,0,0,0,0,"Pwerle, Jeanie"
217,99,2,0,0,0,0,0,"Pwerle, Angelina"
218,1,0,0,0,0,0,0,"Quaill, Avril"
219,1,0,0,0,0,0,0,r e a
220,75,3,0,0,0,0,0,"Rae, Jude"
221,,,0,0,0,0,0,"Rainer, Gillian"
222,,,0,0,0,0,0,"Rarru, Margaret"
223,1,3,0,0,0,0,0,"Redgate, Jacky"
224,,,0,0,0,0,0,"Ridgewell, Brenda"
225,167,3,0,0,0,0,0,"Rix Nicholas, Hilda"
226,75,1,0,0,0,0,0,"Robertshaw, Freda"
227,,,0,0,0,0,0,Romance Was Born
228,7,0,0,0,0,0,0,"Ross, Joan"
229,4,1,0,0,0,0,0,"Rothwell, Caroline"
230,8,1,0,0,0,0,0,"Rrap, Julie"
231,2,0,0,0,0,0,0,"Rudyard, Carol"
232,,,0,0,0,0,0,"Scarce, Yhonnie"
233,,,0,0,0,0,0,"Schneemann, Carolee"
234,,,0,0,0,0,0,"Schorr, Collier"
235,,,0,0,0,0,0,"Sherman, Cindy"
236,76,6,0,0,0,0,0,"Smart, Sally"
237,3,0,0,0,0,0,0,"Smith, Gemma"
238,193,1,0,0,0,0,0,"Spowers, Ethel"
239,,,0,0,0,0,0,"Sprinkle, Annie"
240,17,2,0,0,0,0,0,"Stacey, Robyn"
241,61,9,0,0,0,0,0,"Stannage, Miriam"
242,21,1,0,0,0,0,0,"Staunton, Madonna"
243,217,1,0,0,0,0,0,"Stokes, Constance"
244,3,0,0,0,0,0,0,"Swann, Heather B."
245,,,0,0,0,0,0,"Tait, Bess Norriss"
246,55,1,0,0,0,0,0,"Teague, Violet"
247,15,2,0,0,0,0,0,"Temin, Kathy"
248,,,0,0,0,0,0,Thanakupi
249,,,0,0,0,0,0,The Hampson Family
250,,,0,0,0,0,0,The Lip Collective
251,,,0,0,0,0,0,"Timbery, Esme"
252,,,0,0,0,0,0,Tjanpi Desert Weavers
253,,,0,0,0,0,0,"Tjulyata, Topsy"
254,165,8,0,0,0,0,0,"Tomescu, Aida"
255,378,7,0,0,0,0,0,"Traill, Jessie"
256,134,1,0,0,0,0,0,"Tribe, Barbara"
257,,,0,0,0,0,0,"Tubbs, Marian"
258,,,0,0,0,0,0,"Tunkin, Maringka"
259,,,0,0,0,0,0,"Turner, Mazie Karen"
260,23,1,0,0,0,0,0,"Vongpoothorn, Savanhdary"
261,,,0,0,0,0,0,"Walker, Lyndal"
262,19,1,0,0,0,0,0,"Wallace, Anne"
263,67,2,0,0,0,0,0,"Waller, Christian"
264,,,0,0,0,0,0,"Warrngilna Ganambarr, Mavis"
265,125,4,0,0,0,0,0,"Watson, Jenny"
266,62,3,0,0,0,0,0,"Watson, Judy"
267,,,0,0,0,0,0,"Webb, Mary"
268,,,0,0,0,0,0,"West, Caroline Mary"
269,2,0,0,0,0,0,0,"West, Margaret"
270,13,0,0,0,0,0,0,"Whiting, Ada"
271,3,0,0,0,0,0,0,"Whiting, Lorri"
272,1,0,0,0,0,0,0,"Williams, Justene"
273,,,0,0,0,0,0,Women's Domestic Needlework Group
274,,,0,0,0,0,0,"Woodman, Francesca"
275,3,0,0,0,0,0,0,"Worth, Margaret"
276,14,1,0,0,0,0,0,"Wright, Judith"
277,,,0,0,0,0,0,"Yarinkura, Lena"
278,,,0,0,0,0,0,"Young, Tingila Yaritji"
279,,,0,0,0,0,0,"Yunupiŋgu, Nyapanyapa"
280,50,4,0,0,0,0,0,"Zahalka, Anne"
