,nwork_1970s_2021,nwork_2022,medium_1,medium_2,medium_3,medium_4,medium_5,name_raw
157,2,0,0,0,0,0,0,"Koolmatrie, Yvonne"
158,,,0,0,0,0,0,"Kunmanara, Kawiny"
160,162,6,0,0,0,0,0,"Lahey, Vida"
161,61,3,0,0,0,0,0,"Laing, Rosemary"
162,,,0,0,0,0,0,"Lambe, Claire"
163,29,3,0,0,0,0,0,"Larter, Pat"
164,63,7,0,0,0,0,0,"Laurence, Janet"
165,51,4,0,0,0,0,0,"Lee, Lindy"
166,,,0,0,0,0,0,"Lewers, Darani & Larsen, Helge"
167,118,2,0,0,0,0,0,"Lewers, Margo"
168,,,0,0,0,0,0,"Liao, Pixy"
169,12,0,0,0,0,0,0,"Lloyd, Jo"
170,9,3,0,0,0,0,0,"Lowry, Fiona"
172,3,0,0,0,0,0,0,"MacDonald, Anne"
173,,,0,0,0,0,0,"MacKay, Jan"
174,,,0,0,0,0,0,"MacNamara, Shirley"
175,,,0,0,0,0,0,"MacSween, Valerie"
176,2,0,0,0,0,0,0,"Maddison, Ruth"
177,40,1,0,0,0,0,0,"Maddock, Bea"
178,104,8,0,0,0,0,0,"Madigan, Rosemary"
179,,,0,0,0,0,0,"Mahoney Griffin, Marion"
180,118,0,0,0,0,0,0,"Mahood, Marguerite"
181,30,3,0,0,0,0,0,"Mais, Hilarie"
182,2,0,0,0,0,0,0,"Makigawa, Carlier"
183,,,0,0,0,0,0,"Marawili, Noŋgirrŋa"
184,,,0,0,0,0,0,"Marika, Dr B."
185,12,0,0,0,0,0,0,"Marrinon, Linda"
186,,,0,0,0,0,0,"Marshall, Marion"
187,106,9,0,0,0,0,0,"Martin, Mandy"
188,,,0,0,0,0,0,"Matthews, Leslie"
189,19,0,0,0,0,0,0,"Maudsley, Helen"
190,133,2,0,0,0,0,0,"McGilchrist, Erica"
191,296,9,0,0,0,0,0,"McKenzie, Queenie"
192,12,1,0,0,0,0,0,"McMahon, Marie"
193,,,0,0,0,0,0,"Mesiti, Angelica"
194,,,0,0,0,0,0,"Messager, Annette"
195,,,0,0,0,0,0,"Mestrom, Sanné"
196,277,2,0,0,0,0,0,"Moffatt, Tracey"
197,,,0,0,0,0,0,"Moje, Mascha"
198,408,7,0,0,0,0,0,"Mora, Mirka"
200,22,1,0,0,0,0,0,"Nakamarra, Doreen Reid"
201,278,9,0,0,0,0,0,"Napangardi, Dorothy"
202,2,0,0,0,0,0,0,Nell
203,16,2,0,0,0,0,0,"Nelson, Jan"
204,11,0,0,0,0,0,0,"Newmarch, Ann"
205,12,0,0,0,0,0,0,"Nolan, Rose"
206,230,8,0,0,0,0,0,"Norrie, Susan"
207,32,2,0,0,0,0,0,"Nyadbi, Lena"
209,0,1,0,0,0,0,0,"O'Callaghan, Mel"
210,129,0,0,0,0,0,0,"O'Connor, Kathleen"
211,,,0,0,0,0,0,"Okabe, Momo"
212,62,1,0,0,0,0,0,"Oliver, Bronwyn"
213,49,0,0,0,0,0,0,"Olley, Margaret"
214,,,0,0,0,0,0,"O’Neil, Lillian"
215,,,0,0,0,0,0,"Ormella, Raquel"
216,3,1,0,0,0,0,0,"Orr, Jill"
217,,,0,0,0,0,0,"O'Sullivan, Kate"
219,4,0,0,0,0,0,0,"Pachucka, Ewa"
220,369,26,0,0,0,0,0,"Pardington, Fiona"
221,82,0,0,0,0,0,0,"Pate, Klytie"
222,214,3,0,0,0,0,0,"Perry, Adelaide"
223,15,1,0,0,0,0,0,"Petyarre, Myrtle"
224,1,0,0,0,0,0,0,"Phillips, Debra"
225,217,2,0,0,0,0,0,"Piccinini, Patricia"
226,18,1,0,0,0,0,0,"Piggott, Rosslynd"
227,2,0,0,0,0,0,0,"Poliness, Kerrie"
228,780,8,0,0,0,0,0,"Preston, Margaret"
229,683,5,0,0,0,0,0,"Proctor, Thea"
230,,,0,0,0,0,0,"Pwerle, Jeanie"
231,99,2,0,0,0,0,0,"Pwerle, Angelina"
233,1,0,0,0,0,0,0,"Quaill, Avril"
235,1,0,0,0,0,0,0,r e a
236,75,3,0,0,0,0,0,"Rae, Jude"
237,,,0,0,0,0,0,"Rainer, Gillian"
238,,,0,0,0,0,0,"Rarru, Margaret"
239,1,3,0,0,0,0,0,"Redgate, Jacky"
240,,,0,0,0,0,0,"Ridgewell, Brenda"
241,167,3,0,0,0,0,0,"Rix Nicholas, Hilda"
242,75,1,0,0,0,0,0,"Robertshaw, Freda"
243,,,0,0,0,0,0,Romance Was Born
244,7,0,0,0,0,0,0,"Ross, Joan"
245,4,1,0,0,0,0,0,"Rothwell, Caroline"
246,8,1,0,0,0,0,0,"Rrap, Julie"
247,2,0,0,0,0,0,0,"Rudyard, Carol"
249,,,0,0,0,0,0,"Scarce, Yhonnie"
250,,,0,0,0,0,0,"Schneemann, Carolee"
251,,,0,0,0,0,0,"Schorr, Collier"
252,,,0,0,0,0,0,"Sherman, Cindy"
253,76,4,0,0,0,0,0,"Smart, Sally"
254,3,0,0,0,0,0,0,"Smith, Gemma"
255,193,1,0,0,0,0,0,"Spowers, Ethel"
256,,,0,0,0,0,0,"Sprinkle, Annie"
257,17,1,0,0,0,0,0,"Stacey, Robyn"
258,61,9,0,0,0,0,0,"Stannage, Miriam"
259,21,1,0,0,0,0,0,"Staunton, Madonna"
260,217,1,0,0,0,0,0,"Stokes, Constance"
261,3,0,0,0,0,0,0,"Swann, Heather B."
263,,,0,0,0,0,0,"Tait, Bess Norriss"
264,55,1,0,0,0,0,0,"Teague, Violet"
265,15,2,0,0,0,0,0,"Temin, Kathy"
266,,,0,0,0,0,0,Thanakupi
267,,,0,0,0,0,0,The Hampson Family
268,,,0,0,0,0,0,The Lip Collective
269,,,0,0,0,0,0,"Timbery, Esme"
270,,,0,0,0,0,0,Tjanpi Desert Weavers
271,,,0,0,0,0,0,"Tjulyata, Topsy"
272,165,8,0,0,0,0,0,"Tomescu, Aida"
273,378,7,0,0,0,0,0,"Traill, Jessie"
274,134,1,0,0,0,0,0,"Tribe, Barbara"
275,,,0,0,0,0,0,"Tubbs, Marian"
276,,,0,0,0,0,0,"Tunkin, Maringka"
277,,,0,0,0,0,0,"Turner, Mazie Karen"
279,23,1,0,0,0,0,0,"Vongpoothorn, Savanhdary"
281,,,0,0,0,0,0,"Walker, Lyndal"
282,19,1,0,0,0,0,0,"Wallace, Anne"
283,67,2,0,0,0,0,0,"Waller, Christian"
284,,,0,0,0,0,0,"Warrngilna Ganambarr, Mavis"
285,125,3,0,0,0,0,0,"Watson, Jenny"
286,62,3,0,0,0,0,0,"Watson, Judy"
287,,,0,0,0,0,0,"Webb, Mary"
288,,,0,0,0,0,0,"West, Caroline Mary"
289,2,0,0,0,0,0,0,"West, Margaret"
290,13,0,0,0,0,0,0,"Whiting, Ada"
291,3,0,0,0,0,0,0,"Whiting, Lorri"
292,1,0,0,0,0,0,0,"Williams, Justene"
293,,,0,0,0,0,0,Women's Domestic Needlework Group
294,,,0,0,0,0,0,"Woodman, Francesca"
295,3,0,0,0,0,0,0,"Worth, Margaret"
296,14,1,0,0,0,0,0,"Wright, Judith"
298,,,0,0,0,0,0,"Yarinkura, Lena"
299,,,0,0,0,0,0,"Young, Tingila Yaritji"
300,,,0,0,0,0,0,"Yunupiŋgu, Nyapanyapa"
302,50,4,0,0,0,0,0,"Zahalka, Anne"
