,Auction House,Value Sold,Number Sold,name_raw,,sold
2,Deutscher~Menzies,"$9,120",2,"Brassington, Pat",,9120
3,"Lawsons, Leichhardt NSW","$6,873",3,"Brassington, Pat",,6873
4,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$6,322",2,"Brassington, Pat",,6322
5,"Shapiro Auctioneers, Woollahra NSW","$3,600",1,"Brassington, Pat",,3600
6,"Leonard Joel, Prahran VIC","$2,700",1,"Brassington, Pat",,2700
7,"Menzies, Kensington NSW","$2,700",1,"Brassington, Pat",,2700
8,"Art+Object, Newton, Auckland","$1,303",1,"Brassington, Pat",,1303
0,"Elder Fine Art, North Adelaide SA","$14,008",6,"Broadhurst, Florence",,148
1,"Lawsons, Leichhardt NSW","$8,250",8,"Broadhurst, Florence",,8250
2,"Leonard Joel, Prahran VIC","$3,969",5,"Broadhurst, Florence",,3969
3,"Davidson Auctions, Annandale NSW","$1,928",3,"Broadhurst, Florence",,1928
4,"Shapiro Auctioneers, Woollahra NSW","$1,920",1,"Broadhurst, Florence",,1920
5,"Lawson~Menzies (now trading as Menzies), South Yarra VIC",$629,2,"Broadhurst, Florence",,629
6,Queensland Fine Art Auctions,$400,1,"Broadhurst, Florence",,400
7,"Barsby Auctions, Artarmon NSW",$351,1,"Broadhurst, Florence",,351
8,"Raffan Kelaher & Thomas P/L, Leichhardt NSW",$345,1,"Broadhurst, Florence",,345
9,"McKenzies Auctioneers, Claremont WA",$345,1,"Broadhurst, Florence",,345
10,Aust. Art Auctions,$208,4,"Broadhurst, Florence",,208
0,Sotheby's,"$24,200",1,"Broome-Norton, Jean",,24200
1,"Geoff K. Gray, Homebush NSW","$2,000",1,"Broome-Norton, Jean",,20
0,Sotheby's,"$24,200",1,"Broome-Norton, Jean",,24200
1,"Geoff K. Gray, Homebush NSW","$2,000",1,"Broome-Norton, Jean",,20
0,Phillips Auctioneers,$805,1,"Campbell, Barbara",,805
1,Cromwell's Sydney,$194,1,"Campbell, Barbara",,194
0,"Deutscher and Hackett, South Yarra VIC","$2,086,883",39,"Campbell, Cressida",,286883
1,Sotheby's,"$1,549,870",22,"Campbell, Cressida",,1549870
2,"Shapiro Auctioneers, Woollahra NSW","$676,258",49,"Campbell, Cressida",,676258
3,"Bonhams, Woollahra NSW","$252,025",8,"Campbell, Cressida",,25225
4,"Smith & Singer, Vic","$233,182",1,"Campbell, Cressida",,233182
5,"Menzies, Kensington NSW","$232,323",7,"Campbell, Cressida",,232323
6,"Leonard Joel, Prahran VIC","$68,313",12,"Campbell, Cressida",,68313
7,Christies,"$64,892",5,"Campbell, Cressida",,64892
8,"Davidson Auctions, Annandale NSW","$59,700",18,"Campbell, Cressida",,59700
9,"Lawsons, Leichhardt NSW","$52,046",14,"Campbell, Cressida",,5246
10,"Mossgreen Auctions, Armadale VIC","$51,724",7,"Campbell, Cressida",,51724
11,Deutscher~Menzies,"$23,935",5,"Campbell, Cressida",,23935
12,Bonhams & Goodman,"$23,550",7,"Campbell, Cressida",,23550
13,Bay East Auctions,"$7,500",1,"Campbell, Cressida",,7500
14,"Raffan Kelaher & Thomas P/L, Leichhardt NSW","$7,140",1,"Campbell, Cressida",,7140
15,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$4,719",3,"Campbell, Cressida",,4719
16,"Elder Fine Art, North Adelaide SA","$4,025",1,"Campbell, Cressida",,425
17,Badgery's Auctioneers,"$2,424",4,"Campbell, Cressida",,2424
18,Phillips Auctioneers,"$2,185",2,"Campbell, Cressida",,2185
19,Aust. Art Auctions,"$1,026",2,"Campbell, Cressida",,126
20,"Archers Auctioneers & Valuers, Katoomba NSW",$345,1,"Campbell, Cressida",,345
0,"Lawsons, Leichhardt NSW",$319,1,"Cardoso, Maria Fernanda",,319
0,Sotheby's,"$6,261,003",85,"Carrick, Ethel",,62613
1,Christies,"$1,578,052",81,"Carrick, Ethel",,157852
2,"Smith & Singer, Vic","$914,318",4,"Carrick, Ethel",,914318
3,"Leonard Joel, Prahran VIC","$839,807",187,"Carrick, Ethel",,839807
4,"E. J. Ainger Pty.Ltd., Richmond VIC","$438,009",5,"Carrick, Ethel",,4389
5,Bonhams & Goodman,"$410,202",10,"Carrick, Ethel",,410202
6,"Gibson's Auctioneers & Valuers, Armadale Vic","$320,520",21,"Carrick, Ethel",,320520
7,Deutscher~Menzies,"$285,710",16,"Carrick, Ethel",,285710
8,"Menzies, Kensington NSW","$280,314",14,"Carrick, Ethel",,280314
9,"Bonhams, Woollahra NSW","$277,360",6,"Carrick, Ethel",,277360
10,"Deutscher and Hackett, South Yarra VIC","$252,544",8,"Carrick, Ethel",,252544
11,"Mossgreen Auctions, Armadale VIC","$161,317",6,"Carrick, Ethel",,161317
12,"Lawsons, Leichhardt NSW","$144,429",24,"Carrick, Ethel",,144429
13,"Shapiro Auctioneers, Woollahra NSW","$82,616",5,"Carrick, Ethel",,82616
14,"Raffan Kelaher & Thomas P/L, Leichhardt NSW","$58,750",1,"Carrick, Ethel",,58750
15,Rushton Fine Arts,"$52,600",2,"Carrick, Ethel",,52600
16,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$48,910",8,"Carrick, Ethel",,48910
17,Goodmans Auctioneers,"$39,780",2,"Carrick, Ethel",,39780
18,Joel Fine Art,"$27,927",1,"Carrick, Ethel",,27927
19,Aust. Art Auctions,"$20,800",2,"Carrick, Ethel",,20800
20,"Davidson Auctions, Annandale NSW","$15,636",4,"Carrick, Ethel",,15636
21,"Amanda Addams Auctions, Kew VIC","$14,496",2,"Carrick, Ethel",,14496
22,"GFL Fine Art, Nedlands WA","$13,100",2,"Carrick, Ethel",,13100
23,"Geoff K. Gray, Homebush NSW","$13,060",10,"Carrick, Ethel",,1360
24,"Theodore Bruce Auctions, Stanmore NSW","$6,900",1,"Carrick, Ethel",,6900
25,"McKenzies Auctioneers, Claremont WA","$6,171",1,"Carrick, Ethel",,6171
26,"Small & Whitfield Auctions, Parkside SA","$5,290",1,"Carrick, Ethel",,5290
27,Artemis Auctions,"$4,800",1,"Carrick, Ethel",,4800
28,"Elder Fine Art, North Adelaide SA","$2,860",1,"Carrick, Ethel",,2860
29,Mason Gray,"$2,605",2,"Carrick, Ethel",,2605
30,Spink Auctions,"$1,100",1,"Carrick, Ethel",,1100
31,"Philips Auctions Australia, Malvern VIC",$227,1,"Carrick, Ethel",,227
0,"Leonard Joel, Prahran VIC","$35,541",50,"Chapman, Dora",,35541
1,"Elder Fine Art, North Adelaide SA","$30,087",25,"Chapman, Dora",,3087
2,"GFL Fine Art, Nedlands WA","$15,795",6,"Chapman, Dora",,15795
3,"Theodore Bruce Auctions, Stanmore NSW","$12,744",23,"Chapman, Dora",,12744
4,"Scammell Auctions, Norwood SA","$11,716",21,"Chapman, Dora",,11716
5,Deutscher~Menzies,"$6,440",3,"Chapman, Dora",,6440
6,"Deutscher and Hackett, South Yarra VIC","$5,040",1,"Chapman, Dora",,540
7,"Aalders Auctions, Stanmore NSW","$4,050",6,"Chapman, Dora",,450
8,"Shapiro Auctioneers, Woollahra NSW","$3,804",6,"Chapman, Dora",,3804
9,"Lawsons, Leichhardt NSW","$2,408",2,"Chapman, Dora",,2408
10,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$2,056",1,"Chapman, Dora",,256
11,Adelaide Auctioneers,$864,3,"Chapman, Dora",,864
12,Bonhams & Goodman,$704,3,"Chapman, Dora",,704
13,Cromwell's Sydney,$655,4,"Chapman, Dora",,655
14,"Davidson Auctions, Annandale NSW",$631,3,"Chapman, Dora",,631
15,"Leski Auctions Pty. Ltd, Armadale VIC",$414,1,"Chapman, Dora",,414
16,"Amanda Addams Auctions, Kew VIC",$348,1,"Chapman, Dora",,348
17,Badgery's Auctioneers,$233,1,"Chapman, Dora",,233
18,"McKenzies Auctioneers, Claremont WA",$115,1,"Chapman, Dora",,115
19,Aust. Art Auctions,$55,1,"Chapman, Dora",,55
0,"Leonard Joel, Prahran VIC","$11,163",24,"Cohn, Ola",,11163
1,Deutscher~Menzies,"$4,335",4,"Cohn, Ola",,4335
2,Sotheby's,"$1,092",1,"Cohn, Ola",,192
